Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,Interested in,What are your Primary areas of interest within computer Science field?,Do you have any background knowledge in
Science,No,Both,Yes,Python;C/C++,Web Development;Android App Development,CyberSecurity;Web Developement,Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Application Development,Software Engineering,C/C++
Science,No,Both,Yes,Python;C/C++,Web Development,Data Science;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure
Science,No,Both,Yes,C/C++;JavaScript,Application Development,AI/ML;Web Developement,Data Structure
Science,No,Practical,Yes,C/C++,Web Development;Windows Application Development;Application Development,AI/ML;Software Engineering;CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Web Development;Application Development,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System
Science,No,Both,Yes,Python;C/C++,Web Development,CyberSecurity;Web Developement,C/C++;Operating System
Science,Yes,Both,Yes,Python;JavaScript,Android App Development;Application Development,CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++;JavaScript,Web Development;Application Development;Utility Software,AI/ML;Data Science;CyberSecurity;Web Developement,C/C++;Operating System
Science,Yes,Practical,Yes,Python;C/C++,Web Development;Android App Development,Data Science,C/C++;Operating System
Science,No,Practical,Yes,Python,Web Development,Web Developement,C/C++;Operating System;Data Structure
Science,Yes,Practical,Yes,C/C++,Windows Application Development,Web Developement,C/C++
Science,No,Theoretical,Yes,Python;Java;C/C++;JavaScript;Angular JS,Web Development;Android App Development;Application Development;Utility Software,Data Science;Software Engineering;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,Python,Application Development,Data Science;CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Practical,Yes,Python;Java;C/C++;JavaScript,Web Development;Android App Development;Application Development,Data Science;Software Engineering;Web Developement,C/C++;Data Structure
Science,No,Both,Yes,Python;C/C++;JavaScript,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,Web Development;Android App Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,Python,Application Development,CyberSecurity,Software Engineering
Science,No,Both,Yes,Python;Java;JavaScript,Web Development;Windows Application Development;Application Development,AI/ML;Data Science;CyberSecurity,C/C++;Operating System
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,Python;C/C++,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;CyberSecurity,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,No,Theoretical,Yes,Angular JS,Android App Development,AI/ML,C/C++
Science,No,Practical,Yes,C/C++,Web Development,CyberSecurity,C/C++
Science,No,Practical,Yes,Python;Java;JavaScript,Android App Development;Application Development,Software Engineering;CyberSecurity,C/C++;Operating System
Science,No,Both,No,C/C++,Web Development,AI/ML,C/C++
Science,No,Both,Yes,C/C++,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++
Science,Yes,Practical,Yes,Python;C/C++,Web Development;Android App Development;Utility Software,AI/ML;Data Science,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Practical,Yes,C/C++,Application Development,Data Science,C/C++
Science,Yes,Practical,Yes,Python;C/C++,Web Development,Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Practical,Yes,Python;C/C++,Web Development,Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,Java,Utility Software,Software Engineering;CyberSecurity,Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,JavaScript,Web Development,Data Science,Data Structure
Science,No,Both,Yes,Python;C/C++,Web Development;Application Development,AI/ML;CyberSecurity,C/C++;Operating System;Software Engineering
Science,Yes,Both,Yes,C/C++,Web Development,CyberSecurity,C/C++
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,Yes,Practical,Yes,Python;C/C++,Web Development,Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Practical,Yes,Python;JavaScript;Angular JS,Web Development;Android App Development;Application Development,Software Engineering;Web Developement,C/C++;Data Structure
Science,Yes,Both,Yes,Java;JavaScript,Web Development;Android App Development;Application Development,Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,Java,Web Development,Data Science,C/C++
Science,Yes,Both,Yes,Python;Java;C/C++,Web Development,Web Developement,C/C++
Science,No,Practical,Yes,Python,Web Development;Android App Development,Software Engineering;Web Developement,C/C++
Science,No,Both,Yes,C/C++,Android App Development;Application Development,Data Science;CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Web Development;Windows Application Development,AI/ML;Data Science;CyberSecurity,C/C++;Operating System
Science,Yes,Theoretical,Yes,C/C++,Web Development,CyberSecurity,C/C++
