Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,
Commerce,No,Both,Yes,Python;Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,Python,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Theoretical,Yes,Python,Operating System
Science,Yes,Both,Yes,C/C++,C/C++;Operating System;Data Structure
Science,Yes,Practical,Yes,C/C++,C/C++
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,No,Practical,Yes,Python;C/C++,C/C++
Science,No,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,Python;C/C++,C/C++;Operating System;Data Structure
Science,Yes,Practical,Yes,C/C++,C/C++
Science,No,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,C/C++;Operating System;Data Structure
Science,No,Both,Yes,C/C++,Operating System
Science,No,Practical,Yes,C/C++,C/C++;Operating System
Science,Yes,Both,Yes,C/C++,Software Engineering
Science,No,Both,Yes,Python;C/C++,Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,Python;C/C++,C/C++;Operating System;Data Structure
Science,No,Both,Yes,C/C++;JavaScript,Data Structure
Science,No,Practical,Yes,C/C++,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,C/C++;Operating System
Science,No,Both,Yes,Python;C/C++,C/C++;Operating System
Science,Yes,Both,Yes,Python;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++;JavaScript,C/C++;Operating System
Science,Yes,Practical,Yes,Python;C/C++,C/C++;Operating System
Science,No,Practical,Yes,Python,C/C++;Operating System;Data Structure
Science,Yes,Practical,Yes,C/C++,C/C++
Science,No,Theoretical,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Software Engineering
Commerce,No,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,Python,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Practical,Yes,Python;Java;C/C++;JavaScript,C/C++;Data Structure
Science,No,Both,Yes,Python;C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,Python,Software Engineering
Science,No,Both,Yes,Python;Java;JavaScript,C/C++;Operating System
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,Python;C/C++,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Commerce,No,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,No,Theoretical,Yes,Angular JS,C/C++
Science,No,Practical,Yes,C/C++,C/C++
Science,No,Practical,Yes,Python;Java;JavaScript,C/C++;Operating System
Science,No,Both,No,C/C++,C/C++
Science,No,Both,Yes,C/C++,C/C++
Commerce,No,Both,No,C/C++,Operating System
Science,Yes,Practical,Yes,Python;C/C++,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Practical,Yes,C/C++,C/C++
Science,Yes,Practical,Yes,Python;C/C++,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Practical,Yes,Python;C/C++,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,Java,Operating System;Data Structure;Software Engineering
Commerce,No,Practical,Yes,C/C++,C/C++
Commerce,No,Both,Yes,C/C++,C/C++;Operating System;Software Engineering
Science,No,Practical,Yes,JavaScript,Data Structure
Commerce,Yes,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Node JS
Commerce,No,Practical,Yes,Java,C/C++
Science,No,Both,Yes,Python;C/C++,C/C++;Operating System;Software Engineering
Commerce,No,Practical,Yes,Java;C/C++,C/C++;Data Structure
Science,Yes,Both,Yes,C/C++,C/C++
